"student_id","collaboration","swe","design_approach"
1,1,0,0
2,0,1,1
3,0,1,0
4,1,1,1
5,1,1,0
6,0,1,0
7,1,0,1
8,0,1,0
9,1,1,1
10,0,1,1
11,1,1,0
12,1,0,0
13,1,1,1
14,1,1,1
15,1,0,1
16,1,0,1
17,0,1,1
18,1,1,1
19,1,1,0
20,1,0,1
21,0,1,1
22,1,1,0
23,1,1,0
24,0,0,1
25,0,1,0
26,1,0,1
27,1,1,1
28,1,1,0
29,0,1,0
30,1,0,0
31,0,1,1
32,1,1,0
33,0,0,1
34,0,1,1
35,0,0,1
36,1,1,1
37,0,0,1
38,0,1,1
39,1,1,1
40,1,1,1
41,0,0,1
42,1,1,1
43,1,0,1
44,0,1,1
45,1,1,1
46,1,1,0
47,1,0,0
48,1,1,0
49,0,0,0
50,0,1,1
51,1,1,1
52,0,1,1
53,0,0,1
54,1,0,1
55,1,1,0
56,0,1,1
57,1,1,1
58,1,1,1
59,1,1,1
60,1,1,1
61,0,1,0
62,1,1,1
63,0,1,1
64,1,1,1
65,0,0,1
66,1,0,1
67,0,1,1
68,0,0,0
69,1,0,1
70,1,0,1
71,1,1,1
72,0,0,0
73,0,0,0
74,1,0,1
75,1,1,1
76,1,1,1
77,1,1,1
78,0,1,1
79,0,1,1
80,0,1,1
81,1,0,1
82,1,1,1
83,0,1,1
84,0,0,1
85,0,1,0
86,1,1,1
87,1,0,1
88,1,1,1
89,1,1,1
